Title, Year
"Attack of the 50 Foot Hooker",1994
"Orochi, the Eight-Headed Dragon",1994
"Godzilla vs Destoroya",1995
"Gamera: Guardian of the Universe",1995
"Zarkorr: The Invader",1995
"Neon Genesis Evangelion",1995
"Attack of the 60 Foot Centerfold",1995
"Rebirth of Mothra",1996
"Gamera 2: Attack of Legion",1996
"Ultraman: Tiga",1996
"Rebirth of Mothra II",1997
"Ultraman Dyna",1997
"Princess Mononoke",1997
"The Mighty Kong",1998
"Godzilla",1998
"Rebirth of Mothra III",1998
"Deep Rising",1998
"Godzilla 2000",1999
"Gamera 3: Revenge of Iris",1999
"Godzilla vs Megaguirus",2000
"Spiders",2000
"Sakuya, The Slayer of Demons",2000
"Godzilla, Mothra, and King Ghidorah: Giant Monsters All-Out Attack",2001
"Arachnid",2001
"Spiders II: Breeding Ground",2001
"Godzilla Against Mechagodzilla",2002
"Eight Legged Freaks",2002
"Godzilla: Tokyo SOS",2003
"Godzilla: Final Wars",2004
"Ultra Q: Dark Fantasy",2004
"Scooby-Doo and the Loch Ness Monster",2004
"Monster Island",2004
"King Kong",2005
"Reigo: King of the Sea Monsters",2005
"The Great Yokai War",2005
"Negadon: The Monster from Mars",2005
"Gamera the Brave",2006
"The Host",2006
"Mammoth",2006
"Big Man Japan",2007
"D-War",2007
"Loch Ness Terror",2008
"Cloverfield",2008
"Monster",2008
"Raiga: God of Monsters",2009
"Mega Shark Versus Giant Octopus",2009
"Mighty Lady Sparkle",2009
"Bakunyu Sentai Pairanger",2009
"Monsters vs Aliens",2009
"Gehara: The Dark & Long Hair Monster",2009
"Mega Shark Versus Crocosaurus",2010
"Dinocroc vs Supergator",2010
"Monsters",2010
"Trollhunter",2010
"Scooby-Doo! Legend of the Phantosaur",2011
"Behemoth",2011
"Attack of the 50 Foot Cheerleader",2012
"Grabbers",2012
"Neo Ultra Q",2013
"Pacific Rim",2013
"Big Ass Spider",2013
"Godzilla",2014
"Mega Shark Versus Mecha Shark",2014
"Monsters: Dark Continent",2014
"Mega Shark Versus Kolossus",2015
"Lavalantula",2015
"Shin Godzilla",2016
"Colossal",2016
"A Monster Calls",2016
"Kong: Skull Island",2017
"Godzilla: Planet of Monsters",2017
"I Kill Giants",2017
"The Ritual",2017
"Boar",2017
"Godzilla: City on the Edge of Battle",2018
"Godzilla: Planet Eater",2018
"Pacific Rim: Uprising",2018
"Koujin",2018
"Rampage",2018
"Lake Michigan Monster",2018
"The Great Buddha: Arrival",2018
"Godzilla: King of the Monsters",2019
"Howl from Beyond the Fog",2019
"It Wants Blood!",2019
"Cencoroll Connect",2019
"Notzilla",2019
"Yagon the Water Monster",2019
"The Great Beast of Shennong",2020
"Nezura 1964",2020
"Love and Monsters",2020
"Underwater",2020
"Godzilla vs Kong",2021
"God Raiga vs King Ohga: War of the Monsters",2021
"Pacific Rim: The Black",2021
"The Great Yokai War: Guardians",2021
"Uktena: The Horned Monstrosity",2021
"Shin Ultraman",2022
"Dragon Lizard Lord Super Monsters",2022
"Hammer of Draco Wrath of Dragons",2022
"The Sea Beast",2022
"Attack of the 50 Foot Camgirl",2022
"Giantess Battle Attack",2022
"What to Do With the Dead Kaiju?",2022
"Turning Red",2022
"Yuzo the Biggest Battle in Tokyo",2022
"The Lake",2022
"Troll",2022
"Brush of the God",2023
"Devil Beneath",2023
"The Beast Below",2023
"Godzilla x Kong: The New Empire",2024
"Dragon Lizard Lord vs Gorilla Monkey King",TBA
"Dragon Lizard Lord vs Avalon",TBA
